index,Date,Avg-W,Max-W,Avg-T,Max-T,Min-T,Avg-H,Max-H,Min-H,Avg-P,Max-P,Min-P,Avg-V,Max-V,Min-V,Pre
0,7-8,5.7,9.1,0.0,0.0,0.0,0.0,0.0,0.0,1000.6,1000.8,1000.5,0.0,0.0,0.0,0.0
1,8-8,3.3,8.0,28.4,29.4,26.3,72.4,90.6,64.3,1004.6,1006.2,1002.8,0.0,0.0,0.0,37.8
2,12-8,2.6,7.0,28.2,29.9,25.8,81.2,94.3,66.1,1007.7,1008.9,1005.2,0.0,0.0,0.0,0.6
3,13-8,2.5,10.7,27.7,31.4,25.7,77.0,92.4,56.8,1007.9,1009.6,1006.3,0.0,0.0,0.0,0.2
4,14-8,3.3,9.9,29.1,33.1,26.0,70.4,93.1,48.4,1007.4,1009.8,1004.9,0.0,0.0,0.0,0.6
5,15-8,3.4,10.3,28.9,33.9,25.7,70.3,90.7,47.5,1006.2,1008.4,1003.3,0.0,0.0,0.0,2.2
6,19-8,2.9,9.3,28.1,32.4,24.2,74.4,95.2,49.2,1007.4,1009.1,1005.3,0.0,0.0,0.0,12.4
7,20-8,4.3,11.7,29.3,34.6,26.1,67.2,85.7,45.4,1006.4,1009.1,1004.1,0.0,0.0,0.0,0.0
8,21-8,4.3,10.9,30.5,34.0,26.4,62.6,82.7,44.0,1005.8,1007.7,1003.2,0.0,0.0,0.0,0.0
9,25-8,3.9,9.7,30.0,34.0,26.5,72.3,87.8,50.6,1008.1,1009.7,1005.7,0.0,0.0,0.0,0.0
10,27-8,3.4,10.7,29.9,34.5,24.3,71.7,94.3,49.2,1006.8,1009.0,1003.3,0.0,0.0,0.0,9.6
11,9-9,2.9,13.4,27.7,32.1,23.6,79.5,95.2,57.4,1005.8,1008.3,1003.1,0.0,0.0,0.0,21.0
12,10-9,2.9,9.1,28.1,34.2,23.8,79.3,95.3,47.6,1004.5,1006.9,1001.2,0.0,0.0,0.0,29.0
13,11-9,2.8,8.6,26.3,30.5,24.3,87.6,95.2,66.2,1004.2,1006.0,1001.2,0.0,0.0,0.0,35.8
14,12-9,3.8,11.3,27.5,30.8,25.3,78.8,94.0,59.6,1005.8,1007.5,1003.1,0.0,0.0,0.0,3.0
15,13-9,2.5,12.8,28.1,31.9,25.6,79.4,93.6,57.4,1007.4,1009.3,1004.9,0.0,0.0,0.0,0.2
16,14-9,4.7,16.1,31.0,34.2,24.6,62.4,92.5,47.1,1007.3,1009.6,1004.4,0.0,0.0,0.0,27.4
17,15-9,3.5,10.7,28.4,33.1,25.7,74.6,92.4,51.6,1006.9,1009.2,1003.7,0.0,0.0,0.0,2.8
18,17-9,2.7,9.7,26.2,27.4,25.0,83.5,92.9,69.9,1008.3,1010.6,1006.6,0.0,0.0,0.0,4.6
19,18-9,3.8,13.4,27.9,33.1,23.9,73.1,93.6,44.6,1007.6,1010.5,1004.5,0.0,0.0,0.0,13.2
20,19-9,3.2,13.4,27.0,31.5,24.3,79.9,93.9,56.0,1008.6,1010.3,1005.3,0.0,0.0,0.0,14.8
21,20-9,3.7,12.8,27.2,30.7,24.3,74.4,92.3,54.9,1009.3,1011.3,1006.6,0.0,0.0,0.0,1.2
22,21-9,3.6,9.7,28.2,31.5,25.0,66.3,83.2,53.2,1008.2,1010.4,1006.1,0.0,0.0,0.0,0.0
23,22-9,5.6,12.6,29.5,33.6,25.4,59.9,78.7,41.3,1006.9,1009.7,1004.9,0.0,0.0,0.0,0.0
24,24-9,5.7,12.4,30.0,33.6,27.3,59.4,72.3,47.4,1006.2,1008.0,1003.3,0.0,0.0,0.0,0.0
25,25-9,4.4,13.6,30.0,33.8,27.6,58.4,74.8,41.6,1007.2,1009.2,1004.6,0.0,0.0,0.0,0.0
26,26-9,3.1,9.7,29.2,32.9,26.7,66.9,86.1,48.1,1007.2,1009.1,1004.9,0.0,0.0,0.0,0.0
27,27-9,3.4,12.4,28.5,34.5,23.9,77.0,95.4,47.9,1007.3,1009.6,1004.0,0.0,0.0,0.0,42.4
28,28-9,2.9,12.4,27.9,33.7,25.5,80.4,93.7,51.9,1007.1,1009.4,1004.1,0.0,0.0,0.0,7.4
29,29-9,3.3,9.5,29.8,33.7,26.4,65.0,85.8,46.7,1005.9,1009.0,1003.1,0.0,0.0,0.0,0.0
30,30-9,3.5,9.1,29.0,33.7,25.0,71.1,93.5,48.0,1005.5,1007.4,1002.4,0.0,0.0,0.0,8.6
31,1-10,2.0,8.0,27.2,31.2,24.9,80.8,93.8,59.5,1008.1,1010.1,1005.5,0.0,0.0,0.0,1.8
32,2-10,2.1,9.7,28.3,33.0,23.5,77.2,95.4,54.1,1008.6,1010.5,1005.3,0.0,0.0,0.0,38.8
33,3-10,2.3,8.6,26.8,30.5,24.8,83.2,95.2,63.4,1009.4,1011.6,1006.9,0.0,0.0,0.0,0.2
34,4-10,2.4,8.9,28.1,32.8,24.7,75.4,92.3,57.1,1009.0,1011.2,1005.8,0.0,0.0,0.0,0.0
35,5-10,2.6,9.3,29.8,33.5,26.2,69.0,87.6,54.1,1008.8,1011.1,1005.5,0.0,0.0,0.0,0.0
36,6-10,2.5,10.1,29.5,33.9,25.8,69.7,89.3,51.7,1008.9,1011.2,1006.1,0.0,0.0,0.0,0.0
37,7-10,2.4,8.2,29.6,33.5,25.5,70.1,93.2,48.3,1009.7,1012.2,1007.1,0.0,0.0,0.0,2.2
38,8-10,1.9,8.2,28.3,32.4,26.1,77.5,90.4,58.2,1009.6,1012.2,1006.6,0.0,0.0,0.0,1.0
39,9-10,2.5,8.7,29.6,35.0,26.4,69.5,86.6,43.2,1010.2,1012.5,1007.3,0.0,0.0,0.0,0.0
40,10-10,2.7,12.1,28.9,33.7,24.4,71.3,88.6,49.7,1010.9,1012.8,1008.5,0.0,0.0,0.0,0.2
41,11-10,3.0,11.7,28.5,34.4,24.3,76.3,93.6,48.4,1009.7,1012.6,1006.6,0.0,0.0,0.0,17.0
42,12-10,2.3,8.9,29.9,34.3,26.2,66.2,87.8,43.8,1008.4,1011.5,1005.9,0.0,0.0,0.0,0.0
43,13-10,2.7,11.9,29.6,34.5,25.2,68.2,90.6,42.4,1008.4,1010.3,1005.6,0.0,0.0,0.0,10.4
44,14-10,2.6,8.0,30.2,34.0,26.5,66.5,95.1,44.8,1009.5,1012.6,1002.7,4.0,5630.0,0.0,20.0
45,15-10,3.7,8.2,30.4,32.3,28.1,63.2,75.5,53.6,1011.1,1011.5,1010.3,0.0,0.0,0.0,0.0
46,20-10,1.5,7.6,27.9,34.1,26.3,80.6,88.5,51.0,1006.9,1008.6,1004.5,7406.0,20000.0,455.0,0.0
47,21-10,2.3,11.5,28.9,34.6,26.2,75.2,90.4,47.8,1007.7,1010.0,1005.0,13403.0,20000.0,73.0,0.0
48,22-10,2.4,15.2,28.5,35.0,25.6,75.3,91.7,45.7,1008.6,1010.5,1005.6,17198.0,20000.0,1919.0,0.0
49,23-10,1.9,8.6,28.3,34.3,25.4,75.0,89.4,46.5,1009.0,1011.5,1005.6,15102.0,20000.0,3074.0,0.8
50,24-10,2.9,9.3,28.1,32.7,25.7,75.7,85.4,56.2,1010.0,1012.8,1006.7,19484.0,20000.0,1932.0,0.4
51,25-10,5.5,15.2,28.1,32.6,25.0,77.5,93.4,52.7,1008.5,1011.6,1004.5,17922.0,20000.0,1177.0,14.6
52,26-10,3.7,9.7,27.0,30.5,24.6,82.3,93.2,62.8,1009.5,1011.5,1006.6,17028.0,20000.0,2627.0,5.2
53,27-10,2.6,10.1,27.2,32.5,24.7,81.6,92.6,52.6,1010.2,1013.1,1007.2,15380.0,20000.0,1840.0,4.0
54,28-10,2.9,8.7,28.3,33.1,25.1,74.7,91.9,46.2,1008.5,1011.5,1005.9,16565.0,20000.0,2692.0,3.8
55,29-10,1.9,8.4,27.4,30.3,25.8,81.9,90.5,67.0,1007.5,1010.1,1004.9,9644.0,20000.0,1115.0,3.8
56,30-10,2.2,14.6,26.6,31.9,23.5,86.4,94.8,57.4,1007.1,1009.3,1003.9,7337.0,20000.0,836.0,52.4
57,31-10,2.7,9.3,27.2,31.6,23.9,81.7,94.8,58.7,1007.2,1009.7,1004.5,12047.0,20000.0,537.0,39.0
58,1-11,2.5,9.1,28.0,32.4,24.9,79.2,94.6,54.8,1007.6,1009.6,1005.0,16705.0,20000.0,3293.0,0.2
59,2-11,1.8,8.0,27.9,32.7,24.6,70.3,93.4,41.6,1008.6,1010.2,1006.1,15592.0,20000.0,2095.0,0.0
60,3-11,1.6,6.8,28.4,33.9,25.1,71.7,89.8,45.6,1009.1,1011.7,1007.0,12545.0,20000.0,3845.0,0.0
61,4-11,2.4,9.9,26.2,32.5,23.3,83.7,93.3,56.3,1009.0,1011.4,1006.6,13375.0,20000.0,782.0,13.4
62,5-11,2.2,8.7,28.1,32.2,25.4,77.0,90.4,54.3,1007.9,1010.2,1005.0,17831.0,20000.0,3461.0,0.0
63,6-11,2.8,10.3,28.4,35.3,0.4,73.8,90.1,55.4,1007.7,1010.0,1005.0,18951.0,20000.0,141.0,20.0
64,7-11,3.1,9.7,28.6,33.4,26.2,72.4,85.4,52.1,1007.5,1010.2,1004.8,19169.0,20000.0,9516.0,0.0
65,8-11,2.9,14.0,27.5,33.7,23.3,81.5,94.8,48.8,1007.7,1009.7,1004.4,13504.0,20000.0,741.0,77.4
66,9-11,5.1,13.6,27.9,31.3,24.8,62.9,78.4,49.9,1009.3,1011.1,1006.7,19864.0,20000.0,6596.0,0.0
67,10-11,4.4,11.1,26.3,30.2,22.8,59.9,77.2,45.6,1011.0,1013.5,1008.3,16127.0,20000.0,8628.0,2.0
68,11-11,4.2,10.1,25.9,29.3,22.6,57.2,72.2,44.0,1011.4,1014.2,1009.6,13152.0,20000.0,4415.0,0.0
69,12-11,3.7,10.5,25.7,29.4,21.5,59.5,77.9,42.9,1010.6,1013.1,1008.5,11768.0,20000.0,4372.0,0.0
70,13-11,3.2,8.6,25.5,30.2,20.5,57.2,81.6,34.2,1010.6,1012.7,1008.2,11477.0,20000.0,303.0,0.0
71,14-11,3.5,8.7,26.2,29.3,21.3,57.6,77.9,40.6,1009.6,1012.9,1007.5,10239.0,20000.0,597.0,0.0
72,15-11,4.0,8.9,28.3,31.7,24.5,57.1,64.8,42.2,1008.0,1010.6,1005.8,12184.0,20000.0,6322.0,0.0
73,16-11,2.6,8.2,27.8,31.2,25.8,72.3,86.8,55.5,1007.2,1009.6,1005.1,11250.0,20000.0,896.0,1.4
74,17-11,3.0,8.4,28.8,33.0,25.7,64.1,79.2,43.8,1006.2,1008.2,1004.0,16142.0,20000.0,4655.0,0.2
75,18-11,4.2,13.2,26.9,30.2,24.7,67.9,78.5,50.8,1009.1,1011.2,1006.8,17058.0,20000.0,3855.0,0.0
76,19-11,5.4,12.8,27.4,30.5,24.5,61.1,73.0,51.2,1011.7,1013.2,1009.3,11650.0,18540.0,7661.0,0.0
77,20-11,4.0,11.1,27.3,31.1,23.9,58.4,69.2,44.1,1012.2,1014.7,1009.4,14780.0,20000.0,4330.0,0.0
78,21-11,2.8,7.2,27.3,30.9,24.1,62.8,77.7,46.0,1011.8,1014.8,1010.1,14027.0,20000.0,2743.0,0.0
79,22-11,2.6,7.2,27.6,30.8,24.9,65.8,81.2,49.8,1011.2,1013.2,1009.1,11639.0,20000.0,2320.0,0.0
80,23-11,3.1,8.9,28.9,33.6,25.6,61.3,73.1,42.6,1009.9,1013.1,1007.5,15964.0,20000.0,4500.0,0.0
81,24-11,4.5,15.1,29.0,32.6,26.2,59.9,76.0,46.7,1010.5,1012.2,1008.0,17420.0,20000.0,1012.0,0.0
82,25-11,3.4,9.9,27.6,30.7,24.5,61.4,75.7,50.8,1011.7,1014.2,1001.5,13414.0,20000.0,1952.0,0.0
83,26-11,3.7,10.7,27.5,30.0,23.1,58.4,78.1,48.5,1011.7,1014.1,1009.0,12314.0,19767.0,4668.0,0.0
84,27-11,4.7,11.1,26.7,31.0,21.8,52.5,67.4,42.8,1012.6,1015.0,1009.4,11451.0,19813.0,4170.0,0.0
85,28-11,3.7,10.3,25.2,30.0,20.9,51.0,70.7,34.4,1014.1,1016.5,1010.9,10125.0,15748.0,3036.0,0.0
86,29-11,3.1,8.7,25.0,29.7,21.3,53.1,69.0,33.6,1014.5,1016.9,1011.7,10162.0,18336.0,2068.0,0.0
87,30-11,3.7,8.7,24.3,28.3,20.2,51.1,66.9,40.1,1014.5,1017.4,1012.2,14571.0,20000.0,5535.0,0.0
88,1-12,3.4,8.2,24.8,29.7,21.0,50.6,63.9,34.3,1013.4,1016.8,1010.8,13060.0,20000.0,1849.0,0.0
89,2-12,2.7,8.9,24.8,29.8,20.6,55.7,82.6,33.5,1011.2,1014.9,1008.6,10858.0,19438.0,1535.0,0.0
90,3-12,1.8,6.4,25.7,31.8,21.3,59.7,81.0,31.5,1009.3,1012.1,1006.7,7951.0,20000.0,394.0,0.0
91,4-12,2.8,8.9,27.1,32.1,22.5,60.7,85.9,38.6,1010.8,1014.2,1007.9,9871.0,20000.0,2214.0,0.0
92,5-12,4.0,11.7,27.6,31.3,23.1,54.9,69.2,40.7,1012.8,1015.9,1010.0,14371.0,20000.0,4236.0,0.0
93,6-12,3.2,9.5,25.4,29.6,22.6,60.2,75.4,44.7,1013.0,1016.3,1010.4,12894.0,20000.0,5167.0,0.0
94,7-12,2.5,10.7,25.5,30.4,21.0,63.8,87.3,44.3,1012.6,1014.9,1009.7,10621.0,20000.0,3295.0,0.0
95,8-12,3.1,8.4,25.8,30.4,21.1,58.5,81.1,41.3,1012.9,1016.0,1010.2,11335.0,19497.0,3879.0,0.0
96,9-12,2.8,9.7,23.9,29.1,18.3,58.3,88.5,36.3,1012.4,1015.5,1010.1,10198.0,20000.0,215.0,0.0
97,10-12,2.4,8.0,23.9,29.9,18.6,57.3,88.0,32.3,1011.8,1014.0,1009.5,10129.0,20000.0,734.0,0.0
98,11-12,2.2,8.0,24.5,30.3,19.0,55.4,82.7,32.8,1011.3,1014.3,1009.3,11297.0,20000.0,1996.0,0.0
99,12-12,2.9,9.3,26.0,31.2,20.0,54.7,79.5,34.4,1010.5,1013.2,1008.0,9566.0,20000.0,2779.0,0.0
100,13-12,2.8,8.7,27.0,32.2,22.0,53.4,71.5,32.9,1011.3,1013.9,1009.0,8460.0,15725.0,3732.0,0.0
101,14-12,3.0,8.7,26.4,31.8,21.5,56.7,78.8,34.1,1011.6,1013.9,1009.2,10324.0,20000.0,1507.0,0.0
102,15-12,3.2,11.5,25.8,30.4,20.4,59.6,87.4,39.7,1011.5,1014.6,1009.5,6022.0,13392.0,2089.0,0.0
103,16-12,2.8,8.0,25.4,30.5,20.8,59.9,83.2,34.4,1012.2,1014.0,1010.0,5879.0,20000.0,2697.0,0.0
104,17-12,3.2,9.9,25.2,30.2,20.8,58.5,81.9,35.4,1013.2,1016.1,1011.3,7286.0,15119.0,2584.0,0.0
105,18-12,3.9,10.5,24.6,30.0,19.3,54.0,78.4,33.4,1012.5,1015.6,1010.0,6711.0,14197.0,936.0,0.0
106,19-12,2.4,8.4,24.3,29.6,19.8,57.2,76.6,33.4,1012.4,1015.0,1010.6,5581.0,19915.0,1797.0,0.0
107,20-12,3.1,8.9,25.7,30.9,20.2,49.7,74.7,27.6,1011.3,1014.7,1009.2,8519.0,20000.0,1063.0,0.0
108,21-12,2.7,8.4,26.3,31.8,21.4,55.6,84.7,29.2,1010.7,1013.2,1008.2,10254.0,20000.0,3183.0,0.0
109,22-12,3.3,10.3,26.8,32.3,21.9,55.1,77.9,33.2,1011.4,1013.5,1009.1,14314.0,20000.0,3765.0,0.0
110,23-12,3.6,10.7,26.5,31.0,21.8,58.7,79.8,39.6,1010.8,1013.1,1008.1,14476.0,20000.0,4436.0,0.0
111,24-12,2.5,8.7,27.7,31.5,22.2,53.4,75.8,35.5,1011.0,1013.8,1008.6,13512.0,20000.0,3631.0,0.0
112,25-12,2.7,7.6,28.1,32.1,24.4,50.4,69.0,33.6,1010.5,1012.6,1008.3,15546.0,20000.0,3603.0,0.0
113,26-12,4.0,8.7,27.2,31.8,23.8,56.0,69.1,37.1,1010.8,1012.6,1008.6,17389.0,20000.0,9126.0,0.0
114,27-12,3.8,9.3,26.2,30.9,22.8,63.0,78.8,44.0,1010.1,1012.7,1007.6,19243.0,20000.0,9505.0,0.0
115,28-12,3.6,9.5,26.9,31.2,23.0,62.8,80.5,45.2,1009.1,1011.8,1006.5,16490.0,20000.0,3103.0,0.0
116,29-12,3.7,9.3,28.1,32.6,23.3,58.5,79.8,40.9,1008.9,1011.1,1006.4,16824.0,20000.0,4474.0,0.0
117,30-12,2.7,9.1,28.6,33.2,24.5,56.9,78.6,37.7,1009.2,1011.1,1007.0,19154.0,20000.0,3401.0,0.0
118,31-12,4.3,10.3,28.2,32.8,23.9,53.4,66.0,37.9,1009.8,1011.8,1007.1,19858.0,20000.0,13938.0,0.0
